Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
GenEventInfoProduct                   "generator"                 ""                "SIM"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "SIM"     
edm::HepMCProduct                     "generatorSmeared"          ""                "SIM"     
edm::TriggerResults                   "TriggerResults"            ""                "SIM"     
float                                 "genParticles"              "t0"              "SIM"     
vector<SimTrack>                      "g4SimHits"                 ""                "SIM"     
vector<SimVertex>                     "g4SimHits"                 ""                "SIM"     
vector<int>                           "genParticles"              ""                "SIM"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "SIM"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "SIM"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "SIM"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "SIM"     
vector<reco::GenMET>                  "genMetCalo"                ""                "SIM"     
vector<reco::GenMET>                  "genMetTrue"                ""                "SIM"     
vector<reco::GenParticle>             "genParticles"              ""                "SIM"     
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"     
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::HepMCProduct                     "generatorSmeared"          ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
float                                 "genParticles"              "t0"              "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
int                                   "mixData"                   "bunchSpacing"    "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<PileupSummaryInfo>             "mixData"                   ""                "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
BSTRecord                             "tcdsDigis"                 "bstRecord"       "RECO"    
BXVector<GlobalAlgBlk>                "gtStage2Digis"             ""                "RECO"    
BXVector<GlobalExtBlk>                "gtStage2Digis"             ""                "RECO"    
BXVector<l1t::CaloTower>              "caloStage2Digis"           "CaloTower"       "RECO"    
BXVector<l1t::EGamma>                 "caloStage2Digis"           "EGamma"          "RECO"    
BXVector<l1t::EGamma>                 "gtStage2Digis"             "EGamma"          "RECO"    
BXVector<l1t::EGamma>                 "caloStage2Digis"           "MP"              "RECO"    
BXVector<l1t::EtSum>                  "caloStage2Digis"           "EtSum"           "RECO"    
BXVector<l1t::EtSum>                  "gtStage2Digis"             "EtSum"           "RECO"    
BXVector<l1t::EtSum>                  "caloStage2Digis"           "MP"              "RECO"    
BXVector<l1t::Jet>                    "caloStage2Digis"           "Jet"             "RECO"    
BXVector<l1t::Jet>                    "gtStage2Digis"             "Jet"             "RECO"    
BXVector<l1t::Jet>                    "caloStage2Digis"           "MP"              "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "Muon"            "RECO"    
BXVector<l1t::Muon>                   "gtStage2Digis"             "Muon"            "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy1"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy2"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy3"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy4"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "MuonCopy5"       "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsBMTF"    "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFNeg"   "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsEMTFPos"   "RECO"    
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "RECO"    
